 CYS 20051119  2.23  1.79 82.30 61.90 97.40 288.7
 CYS 20051120  2.33  2.27100.00 62.10 97.40 274.0
 CYS 20051121  2.19  2.14100.00 62.30 97.40 285.2
 CYS 20051122  2.16  2.11100.00 62.50 97.40 285.1
 CYS 20051123  2.06  2.00100.00 62.70 97.40 295.0
 CYS 20051124  1.94  1.89100.00 62.80 97.40 307.1
 CYS 20051125  2.00  1.95100.00 63.00 97.40 295.2
 CYS 20051126  1.87  0.91 50.10 63.20 97.40 309.7
 CYS 20051127  1.87  1.63 80.00 63.30 97.40 307.0
 CYS 20051128  1.88  1.73 89.60 63.50 97.40 302.4
 CYS 20051129  1.78  1.74100.00 63.60 97.40 313.9
 CYS 20051130  1.55  1.45 96.30 63.80 97.40 354.0
 CYS 20051201  1.89  0.79 40.90 63.90 97.40 290.8
 CYS 20051202  1.87  1.37 75.00 64.00 97.40 290.8
 CYS 20051203  1.61  1.56 99.30 64.10 97.40 331.9
 CYS 20051204  1.39  1.08 77.80 64.20 97.40 379.9
 CYS 20051205  1.39  1.26 92.90 64.30 97.40 374.8
 CYS 20051206  1.32  1.16 74.40 64.40 97.40 391.6
 CYS 20051207  1.45  1.74 99.60 64.50 97.40 354.5
 CYS 20051208  1.65  2.01100.00 64.60 97.40 312.3
 CYS 20051209  1.63  1.96100.00 64.70 97.40 313.5
 CYS 20051210  1.81  2.13100.00 64.80 97.40 282.0
 CYS 20051211  1.98  1.93100.00 64.80 97.40 258.7
 CYS 20051212  1.86  1.81100.00 64.90 97.40 273.7
 CYS 20051213  1.71  1.42 85.70 64.90 97.40 294.0
 CYS 20051214  1.51  1.67 98.70 65.00 97.40 328.6
 CYS 20051215  1.48  1.44 99.80 65.00 97.40 335.2
 CYS 20051216  1.33  1.15 84.70 65.10 97.40 371.5
 CYS 20051217  1.31  1.28 84.80 65.10 97.40 375.0
 CYS 20051218  1.34  1.53 95.00 65.10 97.40 365.8
 CYS 20051219  1.43  1.37 98.60 65.10 97.40 344.2
 CYS 20051220  1.69  1.36 82.60 65.10 97.40 293.4
 CYS 20051221  1.78  1.72 99.60 65.10 97.40 280.1
 CYS 20051222  1.73  1.02 60.70 65.10 97.40 287.2
 CYS 20051223  1.57  1.32 86.00 65.10 97.40 315.2
 CYS 20051224  1.65  1.61 99.70 65.00 97.40 301.0
 CYS 20051225  1.78  1.71 98.80 65.00 97.40 282.0
 CYS 20051226  1.88  1.83100.00 65.00 97.40 269.7
 CYS 20051227  1.65  1.04 64.80 64.90 97.40 304.7
 CYS 20051228  1.91  1.86100.00 64.90 97.40 267.3
 CYS 20051229  1.62  1.45 91.70 64.80 97.40 312.6
 CYS 20051230  1.70  1.61 97.30 64.70 97.40 301.5
 CYS 20051231  1.84  1.77 98.50 64.70 97.40 281.2
 CYS 20060101  1.67  1.43 88.10 64.60 97.40 309.6
